name	variant	category
Dosis 500	500	sans-serif
Dosis 600	600	sans-serif
Dosis 700	700	sans-serif
Dosis 800	800	sans-serif
Inconsolata regular	regular	monospace
Inconsolata 700	700	monospace
Fjalla One regular	regular	sans-serif
Hind 300	300	sans-serif
Hind regular	regular	sans-serif
Hind 500	500	sans-serif
Hind 600	600	sans-serif
Hind 700	700	sans-serif
Oxygen 300	300	sans-serif
Oxygen regular	regular	sans-serif
Oxygen 700	700	sans-serif
Anton regular	regular	sans-serif
Noto Serif regular	regular	serif
Noto Serif italic	italic	serif
Noto Serif 700	700	serif
Noto Serif 700italic	700italic	serif
Cabin regular	regular	sans-serif
Cabin italic	italic	sans-serif
Cabin 500	500	sans-serif
Cabin 500italic	500italic	sans-serif
Cabin 600	600	sans-serif
Cabin 600italic	600italic	sans-serif
Cabin 700	700	sans-serif
Cabin 700italic	700italic	sans-serif
Arvo regular	regular	serif
Arvo italic	italic	serif
Arvo 700	700	serif
Arvo 700italic	700italic	serif
Libre Baskerville regular	regular	serif
Libre Baskerville italic	italic	serif
Libre Baskerville 700	700	serif
Nunito 200	200	sans-serif
Nunito 200italic	200italic	sans-serif
Nunito 300	300	sans-serif
Nunito 300italic	300italic	sans-serif
Nunito regular	regular	sans-serif
Nunito italic	italic	sans-serif
Nunito 600	600	sans-serif
Nunito 600italic	600italic	sans-serif
Nunito 700	700	sans-serif
Nunito 700italic	700italic	sans-serif
Nunito 800	800	sans-serif
Nunito 800italic	800italic	sans-serif
Nunito 900	900	sans-serif
Nunito 900italic	900italic	sans-serif
Lobster regular	regular	display
Crimson Text regular	regular	serif
Crimson Text italic	italic	serif
Crimson Text 600	600	serif
Crimson Text 600italic	600italic	serif
Crimson Text 700	700	serif
Crimson Text 700italic	700italic	serif
Yanone Kaffeesatz 200	200	sans-serif
Yanone Kaffeesatz 300	300	sans-serif
Yanone Kaffeesatz regular	regular	sans-serif
Yanone Kaffeesatz 700	700	sans-serif
Roboto Mono 100	100	monospace
Roboto Mono 100italic	100italic	monospace
Roboto Mono 300	300	monospace
Roboto Mono 300italic	300italic	monospace
Roboto Mono regular	regular	monospace
Roboto Mono italic	italic	monospace
Roboto Mono 500	500	monospace
Roboto Mono 500italic	500italic	monospace
